Response,Created At
"Click (outside defined region): 69.1%, 89.92%",2019-01-07 11:24:14
1,2019-01-07 11:23:42
2,2019-01-07 11:23:44
2,2019-01-07 11:23:44
3,2019-01-07 11:23:48
3,2019-01-07 11:23:46
3,2019-01-07 11:23:39
3,2019-01-07 11:23:33
3,2019-01-07 11:23:30
3,2019-01-07 11:23:18
4,2019-01-07 11:24:16
4,2019-01-07 11:24:09
4,2019-01-07 11:24:05
4,2019-01-07 11:24:03
4,2019-01-07 11:23:54
4,2019-01-07 11:23:53
4,2019-01-07 11:23:50
4,2019-01-07 11:23:49
4,2019-01-07 11:23:44
4,2019-01-07 11:23:41
4,2019-01-07 11:23:37
4,2019-01-07 11:23:36
4,2019-01-07 11:23:19
4,2019-01-07 11:23:09
5,2019-01-07 11:24:06
5,2019-01-07 11:23:52
5,2019-01-07 11:23:52
5,2019-01-07 11:23:51
5,2019-01-07 11:23:49
5,2019-01-07 11:23:48
5,2019-01-07 11:23:47
5,2019-01-07 11:23:38
5,2019-01-07 11:23:36
5,2019-01-07 11:23:34
5,2019-01-07 11:23:31
5,2019-01-07 11:23:18
5,2019-01-07 11:23:14
