Response,Created At
I thought the way the class was handled made it easy for me to relate. I know the work may be challenging but I'm quite optimistic about the class. Thanks!,2020-01-06 14:51:40
One improvement could be to allow for the TAs to handle some of the questions.,2020-01-06 14:51:38
"I liked that there will be plenty of support. Basically, that was made clear and also the general layout of the course. I look forward to learning how to analyze data at a higher level.",2020-01-06 14:51:28
"I thought that the general overview of the course schedule and expectations was clear and helpful. Next time, I think it could be helpful to briefly address examples of what kinds of things we'll be going over in the course (particularly examples of final project topics). Thanks!",2020-01-06 14:51:21
I liked that the expectations of the class were clearly explained and that the instructors are all very willing to help us learn the class material. I liked the idea of the Application sections. I liked the explanation about the growth mindset.,2020-01-06 14:51:13
"The pace was great, I liked that there were a lot of quant details provided (# of assignments, time they would be do, reviewing homework grading policy, etc.).",2020-01-06 14:51:09
"The professor and teaching staff are clearly enthusiastic (and enthusiasm is contagious - I'm excited too!). However, attending 2 sections per week seems like a lot. How much are the Thursday sections (application sections) recommended? Could those be discussed a little more during the next class?",2020-01-06 14:51:06
"I think this was a good first introduction to the course. Although some people may not think it's helpful, I appreciated having a walk-through / explanation of the course logistics and expectations.",2020-01-06 14:51:06
"I liked the explanation of ""why R"" and introduction to visualization and what R is good for. Everything seemed organized and accessible - excited to really get started and see what's next!",2020-01-06 14:50:57
"I appreciated when you gave us time to discuss things in small groups and then talk about them as a full lecture. Specifically, when we were going through the plots and looking at what was wrong with each one.",2020-01-06 14:50:54
"Really helpful to understand the arc of the course. I'm eager to learn more about the specific statistical concepts we'll be learning, but I know those are available in the book and will be covered in classes to come. I'm also looking forward to seeing guidelines for and examples of final projects so that I can start brainstorming about possible ideas.",2020-01-06 14:50:53
Clear outline of the class. Good intro set up for the next lecture. I would like more information on the project scope and ideas to start thinking about it.,2020-01-06 14:50:43
I enjoyed the moments where we got to chat with the people sitting next to us. I think today's class provided a good beginning foundation for what the class will be.,2020-01-06 14:50:40
The class was well structured! It felt very engaging for a syllabus day. Not sure I have any particular advice for next year.,2020-01-06 14:50:31
"The part on the value of visualization, with examples, was interesting :)",2020-01-06 14:50:31
Good music. Definitely appreciate having clear timeline of deadlines. Also appreciate clear expectations for HW and projects as early as possible.,2020-01-06 14:50:28
Good pace of questions throughout the tutorial. It would be good to review concerns about preparedness in taking the course.,2020-01-06 14:50:26
I liked your emphasis on teaching and transparency of your process.,2020-01-06 14:50:26
"I liked the syllabus. I'm really looking forward to learning all these interesting tools to use them in my research. I get distracted when people eat in class and I'd appreciate it if the rule ""no food or drinks"" could be respected",2020-01-06 14:50:24
"I liked the way statistics and its importance/how cool it can be was discussed and introduced, especially addressing the fear that often surrounds this subject. No thoughts for improvement!",2020-01-06 14:50:20
maybe cover more actual materials (even in the first class) because the quarter is short,2020-01-06 14:50:18
"I really enjoyed the introduction to the course, as it seems very organized and focused on student growth. I'm excited to start discussing the course content.",2020-01-06 14:50:14
"Tobi is cheerful, positive, and non-judgmental-seeming :) looking fwd to the course!",2020-01-06 14:50:13
I like all the organization and effort you've put into the class and obvious care you have for our learning. Thank you!,2020-01-06 14:50:09
It was good. Maybe spend a few more minutes to discuss the final project,2020-01-06 14:50:06
Very clear presentation of how the course is going to be.,2020-01-06 14:50:04
I think this class will be completely different from future classes because this was just an intro. I don't have much feedback for this class.,2020-01-06 14:50:02
"I thought it was a great introduction to the class, great laying out of what we are going to learn, why it is important, and what the class resources are.",2020-01-06 14:50:00
very friendly atmosphere. Very clear slides. Exciting content! Can't wait to learn,2020-01-06 14:49:58
It felt very organized which was nice.  Don't really have anything that could be improved.,2020-01-06 14:49:56
Clear expectations/schedule/goals for class! I like the music too,2020-01-06 14:49:56
Would have appreciated more detail on the project. When are we expected to form groups?,2020-01-06 14:49:52
It was good- standard first class.,2020-01-06 14:49:52
"Good and informative, feeling good about the rest of the class, thanks for the resources + super organized class guide. I think the discussion of class logistics was a bit long and could be cut down",2020-01-06 14:49:49
...,2020-01-06 14:49:41
It was a great first class!!,2020-01-06 14:49:40
So far so good!,2020-01-06 14:49:40
I like the feedback mechanism built into the course.,2020-01-06 14:49:37
Good in general.,2020-01-06 14:49:29
