Response,Created At
"Click (outside defined region): 98.12%, 43.45%",2020-01-08 14:47:52
3,2020-01-08 14:47:55
3,2020-01-08 14:47:47
3,2020-01-08 14:47:45
3,2020-01-08 14:47:42
4,2020-01-08 14:47:53
4,2020-01-08 14:47:52
4,2020-01-08 14:47:49
4,2020-01-08 14:47:49
4,2020-01-08 14:47:47
4,2020-01-08 14:47:46
4,2020-01-08 14:47:46
4,2020-01-08 14:47:45
4,2020-01-08 14:47:45
4,2020-01-08 14:47:44
4,2020-01-08 14:47:44
4,2020-01-08 14:47:43
4,2020-01-08 14:47:43
4,2020-01-08 14:47:43
4,2020-01-08 14:47:42
4,2020-01-08 14:47:42
4,2020-01-08 14:47:41
4,2020-01-08 14:47:41
4,2020-01-08 14:47:41
4,2020-01-08 14:47:41
4,2020-01-08 14:47:41
4,2020-01-08 14:47:41
4,2020-01-08 14:47:40
4,2020-01-08 14:47:40
5,2020-01-08 14:47:59
5,2020-01-08 14:47:55
5,2020-01-08 14:47:43
5,2020-01-08 14:47:42
5,2020-01-08 14:47:42
5,2020-01-08 14:47:42
5,2020-01-08 14:47:41
5,2020-01-08 14:47:41
5,2020-01-08 14:47:40
