Results Summary

Response,Count
4,9
6,6
3,6
5,5
2,5
9,1
7,1
Total,33


Individual Results

Response,Created At
2,2020-01-17 13:37:12
2,2020-01-17 13:37:09
2,2020-01-17 13:36:58
2,2020-01-17 13:36:44
2,2020-01-17 13:36:40
3,2020-01-17 13:38:24
3,2020-01-17 13:37:04
3,2020-01-17 13:36:57
3,2020-01-17 13:36:55
3,2020-01-17 13:36:49
3,2020-01-17 13:36:49
4,2020-01-17 13:37:17
4,2020-01-17 13:37:13
4,2020-01-17 13:37:02
4,2020-01-17 13:36:59
4,2020-01-17 13:36:49
4,2020-01-17 13:36:47
4,2020-01-17 13:36:46
4,2020-01-17 13:36:43
4,2020-01-17 13:36:41
5,2020-01-17 13:37:07
5,2020-01-17 13:37:05
5,2020-01-17 13:36:59
5,2020-01-17 13:36:56
5,2020-01-17 13:36:48
6,2020-01-17 13:37:15
6,2020-01-17 13:37:07
6,2020-01-17 13:36:57
6,2020-01-17 13:36:45
6,2020-01-17 13:36:40
6,2020-01-17 13:36:40
7,2020-01-17 13:36:57
9,2020-01-17 13:36:50
