Response,Created At
13,2019-01-23 10:41:54
10,2019-01-23 10:41:50
6,2019-01-23 10:41:36
15,2019-01-23 10:41:35
18,2019-01-23 10:41:34
15,2019-01-23 10:41:31
8,2019-01-23 10:41:30
6,2019-01-23 10:41:30
12,2019-01-23 10:41:20
10,2019-01-23 10:41:17
5,2019-01-23 10:41:17
11,2019-01-23 10:41:12
10,2019-01-23 10:41:12
13,2019-01-23 10:41:11
10,2019-01-23 10:41:10
15,2019-01-23 10:41:09
13,2019-01-23 10:41:08
12,2019-01-23 10:41:07
8,2019-01-23 10:41:07
8.5,2019-01-23 10:41:06
20,2019-01-23 10:41:04
3,2019-01-23 10:41:03
10,2019-01-23 10:41:03
8,2019-01-23 10:41:02
8,2019-01-23 10:41:02
22,2019-01-23 10:41:02
30,2019-01-23 10:41:01
12,2019-01-23 10:41:01
