Results Summary

Response,Count
just right,14
a little too fast,6
much too fast,1
a little too slow,1
Total,22


Individual Results

Response,Created At
a little too slow,2019-01-23 11:47:24
just right,2019-01-23 11:47:39
just right,2019-01-23 11:47:36
just right,2019-01-23 11:47:35
just right,2019-01-23 11:47:35
just right,2019-01-23 11:47:34
just right,2019-01-23 11:47:34
just right,2019-01-23 11:47:30
just right,2019-01-23 11:47:29
just right,2019-01-23 11:47:29
just right,2019-01-23 11:47:25
just right,2019-01-23 11:47:24
just right,2019-01-23 11:47:21
just right,2019-01-23 11:47:20
just right,2019-01-23 11:47:19
a little too fast,2019-01-23 11:47:36
a little too fast,2019-01-23 11:47:35
a little too fast,2019-01-23 11:47:32
a little too fast,2019-01-23 11:47:29
a little too fast,2019-01-23 11:47:19
a little too fast,2019-01-23 11:47:18
much too fast,2019-01-23 11:47:40
