Response,Created At
"Click (outside defined region): 69.68%, 82.49%",2019-01-28 11:48:19
2,2019-01-28 11:48:27
3,2019-01-28 11:48:21
3,2019-01-28 11:48:20
3,2019-01-28 11:48:16
3,2019-01-28 11:48:15
4,2019-01-28 11:48:24
4,2019-01-28 11:48:24
4,2019-01-28 11:48:20
4,2019-01-28 11:48:20
4,2019-01-28 11:48:19
4,2019-01-28 11:48:19
4,2019-01-28 11:48:17
4,2019-01-28 11:48:17
4,2019-01-28 11:48:16
4,2019-01-28 11:48:15
4,2019-01-28 11:48:15
5,2019-01-28 11:48:19
5,2019-01-28 11:48:17
5,2019-01-28 11:48:17
5,2019-01-28 11:48:16
