State Internet College Auto Density
AK	79	28	1.17	1.2
AL	63.5	23.5	1.34	94.4
AR	60.9	20.6	1.7	56
AZ	73.9	27.4	1.27	56.3
CA	77.9	31	0.84	239.1
CO	79.4	37.8	0.96	48.5
CT	77.5	37.2	1.02	738.1
DE	74.5	29.8	1.13	460.8
FL	74.3	27.2	1.25	350.6
GA	72.2	28.3	1.12	168.4
HI	78.6	31.2	1.13	211.8
IA	72.2	26.4	1.24	54.5
ID	73.2	26.2	1.32	19
IL	 74	32.1	0.88	231.1
IN	69.7	23.8	1	181
KS	73	31.1	1.44	34.9
KY	68.5	22.6	1.58	109.9
LA	64.8	22.5	1.59	104.9
MA	79.6	40.3	0.64	839.4
MD	78.9	37.4	0.88	594.8
ME	72.9	28.2	1.11	43.1
MI	70.7	26.9	0.97	174.8
MN	76.5	33.5	0.73	66.6
MO	69.8	27	1.16	87.1
MS	57.4	20.4	1.61	63.2
MT	72.1	29	1.69	6.8
NC	70.8	28.4	1.29	196.1
ND	72.5	27.1	1.27	9.7
NE	72.9	29.4	0.98	23.8
NH	80.9	34.6	0.98	147
NJ	79.1	36.6	0.76	1195.5
NM	64.4	26.4	1.38	17
NV	75.6	22.5	1.16	24.6
NY	75.3	34.1	0.92	411.2
OH	71.2	26.1	0.97	282.3
OK	66.7	23.8	1.4	54.7
OR	77.5	30.7	0.94	39.9
PA	72.4	28.7	1.32	283.9
RI	76.5	32.4	0.81	1018.1
SC	66.6	26.1	1.65	153.9
SD	71.1	26.6	1.58	10.7
TN	67	24.8	1.47	153.9
TX	71.8	27.5	1.29	96.3
UT	79.6	31.3	0.95	33.6
VA	75.8	36.1	0.9	202.6
VT	75.3	35.7	0.98	67.9
WA	78.9	32.7	0.8	101.2
WI	73	27.7	0.96	105
WV	64.9	18.9	1.64	77.1
WY	75.5	26.6	1.66	5.8
