Results Summary

Response,Count
4,9
5,5
3,5
2,4
1,3
Total,26


Individual Results

Response,Created At
1,2019-01-30 10:38:55
1,2019-01-30 10:38:40
1,2019-01-30 10:38:29
2,2019-01-30 10:39:24
2,2019-01-30 10:38:48
2,2019-01-30 10:38:35
2,2019-01-30 10:38:26
3,2019-01-30 10:38:50
3,2019-01-30 10:38:45
3,2019-01-30 10:38:35
3,2019-01-30 10:38:32
3,2019-01-30 10:38:32
4,2019-01-30 10:38:51
4,2019-01-30 10:38:38
4,2019-01-30 10:38:38
4,2019-01-30 10:38:36
4,2019-01-30 10:38:35
4,2019-01-30 10:38:33
4,2019-01-30 10:38:31
4,2019-01-30 10:38:29
4,2019-01-30 10:38:29
5,2019-01-30 10:39:24
5,2019-01-30 10:38:55
5,2019-01-30 10:38:54
5,2019-01-30 10:38:39
5,2019-01-30 10:38:35
