Results Summary

Response,Count
just right,14
a little too fast,6
a little too slow,5
much too fast,1
much too slow,1
Total,27


Individual Results

Response,Created At
much too slow,2019-02-06 11:48:50
a little too slow,2019-02-06 11:48:51
a little too slow,2019-02-06 11:48:50
a little too slow,2019-02-06 11:48:47
a little too slow,2019-02-06 11:48:46
a little too slow,2019-02-06 11:48:39
just right,2019-02-06 11:49:13
just right,2019-02-06 11:49:09
just right,2019-02-06 11:49:04
just right,2019-02-06 11:48:55
just right,2019-02-06 11:48:54
just right,2019-02-06 11:48:52
just right,2019-02-06 11:48:51
just right,2019-02-06 11:48:51
just right,2019-02-06 11:48:50
just right,2019-02-06 11:48:47
just right,2019-02-06 11:48:45
just right,2019-02-06 11:48:43
just right,2019-02-06 11:48:41
just right,2019-02-06 11:48:39
a little too fast,2019-02-06 11:49:13
a little too fast,2019-02-06 11:49:09
a little too fast,2019-02-06 11:49:01
a little too fast,2019-02-06 11:49:01
a little too fast,2019-02-06 11:48:50
a little too fast,2019-02-06 11:48:41
much too fast,2019-02-06 11:48:58
