Response,Created At
I struggled with the concept of contrasts.  Perhaps it would have helped to show analytically that applying this transformation to dummy-coded IVs does not affect anything but the interpretation of the results.,2019-02-06 12:04:31
"This is just a comment about hw. But sometimes the data camp question can take a lot of time because I'm trying to figure out what I did wrong and it ended up the reason why was because I labelled things differently than what data camp recognizes. Looking at the answer is much more helpful than bashing, but we get docked for it. Is there a way to minimize this?",2019-02-06 11:59:37
"Overall good. I thought the transition from a data exploration approach to a hypothesis testing approach wasn't made clear enough and make the section on setting up contrasts in advance at first a bit nebulous. If I have understood the motivation for doing so first, I think this section would have been clearer.",2019-02-06 11:53:49
"I'm having mixed feelings about both the frequency and time spent on questions in class -- it makes following the narrative of the lecture that much harder...I'm wondering if there could be a better way for individual questions to be documented and resolved, perhaps via PollEV? Having a text box open throughout the class for people to type in their questions and reserve the last 15 mins of the class to address them? Not sure if this would work, just a thought...",2019-02-06 11:53:46
"I find the datacamp homework a bit frustrating. I'm familiar with a lot that is taught there and except for watching it in 1.5x speed, there is no way for me to skim through it. I would have liked to put more time instead into the second part of the homework which I found more challenging but I didn't have any time left. So I felt that I spent more time on things I already knew and couldn't focus on the things I actually needed practice in.",2019-02-06 11:53:10
"is there any technique/ will we learn how to select the numbers for the contrast model (like 1, 1,4). Do you tell by looking at the data plots?",2019-02-06 11:52:45
"I followed why we could multiply our values by 0 and 1 earlier. But today, how does it not mess up our values when we multiply by -1, 0, 1, etc.?",2019-02-06 11:52:07
The topic about ANOVA contrasts is always difficult to explain and I think you did a pretty good job. Keep it up!,2019-02-06 11:51:50
"Thanks for helping us reproduce the SPSS ANOVA. That's really important for one of my projects. It's hard that we're getting bogged down and not able to get through as much material. But it is confusing, and I don't understand some of it, so I don't necessarily thing that powering ahead is helpful. Maybe covering materials and then letting people review it on their own and then come back to class with questions would be helpful. 
Also, thanks for all the effort you've put into the class. It's fantastic, and we're giving feedback to only try to make it better.",2019-02-06 11:51:45
it seems like there are a ton of restrictions with linear/mixed effect modeling eg normal residuals...can we use permutation test to circumvent these issues with these more complicated models?,2019-02-06 11:51:41
"The posted PDFs of the slides are missing part of the additive slide content (e.g, slides 20 and 22nare missing code)",2019-02-06 11:51:34
Was a little confused about the mixed linear effects model at the end. Otherwise all made sense!,2019-02-06 11:51:21
I was confused on how we're choosing the variables to encode the contrasts still? it seems arbitrary?,2019-02-06 11:51:21
Really really helpful and clear explanation of linear contrasts. Thank you!!,2019-02-06 11:50:59
