Response,Created At
"Click (outside defined region): 59.48%, 47.2%",2020-02-10 14:49:22
2,2020-02-10 14:49:13
2,2020-02-10 14:49:11
3,2020-02-10 14:49:30
3,2020-02-10 14:49:23
3,2020-02-10 14:49:15
3,2020-02-10 14:49:15
3,2020-02-10 14:49:10
3,2020-02-10 14:49:08
3,2020-02-10 14:49:08
3,2020-02-10 14:49:08
4,2020-02-10 14:49:33
4,2020-02-10 14:49:26
4,2020-02-10 14:49:14
4,2020-02-10 14:49:13
4,2020-02-10 14:49:12
4,2020-02-10 14:49:12
4,2020-02-10 14:49:10
4,2020-02-10 14:49:10
4,2020-02-10 14:49:10
4,2020-02-10 14:49:09
4,2020-02-10 14:49:08
4,2020-02-10 14:49:08
4,2020-02-10 14:49:08
4,2020-02-10 14:49:07
5,2020-02-10 14:49:12
5,2020-02-10 14:49:09
5,2020-02-10 14:49:08
5,2020-02-10 14:49:08
5,2020-02-10 14:49:08
