Results Summary

Response,Count
just right,13
a little too slow,3
a little too fast,2
much too fast,1
Total,19


Individual Results

Response,Created At
a little too slow,2019-02-15 11:50:04
a little too slow,2019-02-15 11:49:54
a little too slow,2019-02-15 11:49:54
just right,2019-02-15 11:50:07
just right,2019-02-15 11:50:06
just right,2019-02-15 11:50:02
just right,2019-02-15 11:49:59
just right,2019-02-15 11:49:55
just right,2019-02-15 11:49:54
just right,2019-02-15 11:49:53
just right,2019-02-15 11:49:52
just right,2019-02-15 11:49:51
just right,2019-02-15 11:49:50
just right,2019-02-15 11:49:50
just right,2019-02-15 11:49:50
just right,2019-02-15 11:49:50
a little too fast,2019-02-15 11:50:01
a little too fast,2019-02-15 11:49:58
much too fast,2019-02-15 11:49:54
