Response,Created At
You're awesome Tobi!,2019-02-20 13:15:14
"It's a really helpful lecture for explaining CV, AIC, BIC. One thing I am wondering about is ""likelihood"". I think it would be helpful to clarify whether ""likelihood"" is of the model or of the data. When explaining the formula of AIC/BIC, Tobi said ""likelihood of the model"", but my understanding might be given the current model, what's the likelihood of the observed data?",2019-02-20 11:54:44
"I don't think a long midterm is as unreasonable as my classmate made it out to be (don't feel bad! :D), I just think the time frame was a bit short. I think you can give a similar test next year, but it would be nice if that exam was given a full week (like a homework), so we could really work on our own time, as opposed to having several days off before the test and then needing to cram the exam into those days.",2019-02-20 11:53:20
"The feedback on the midterm seemed rather harsh. I think it was long, but reasonably so given that we didn't have homework and were given multiple days. Thanks for being so willing to adapt to feedback though!",2019-02-20 11:52:42
Didn't really understand Monte Carlo as it went by so quickly. And unsure about lmer... :( But I think the LOO and K fold were explained well last lecture!,2019-02-20 11:52:32
Thanks for the review at the beginning of class. Sounds like references for the history and development of BIC and AIC could be useful. I'll see if they are already on the class website.,2019-02-20 11:52:26
I liked how you explained how to interpret the different information within the outputs,2019-02-20 11:52:02
"I can tell that you are really spending time preparing this material, and I feel like I've been able to grasp the concepts in lecture quite well recently. 

Despite the scathing review of the timing for the midterm, I just wanted to share that there are many other graduate classes here (in other departments) that give longer than 3 hour exams. I think the main difference here was the expectation for time spent (as those classes are usually very forward about the extended length of time the exam will take)

I'm a little confused on the differences in use cases between replicate and map. It seems like map is just more universally useful, but I'm not sure what context you would want to use one function over the other.",2019-02-20 11:51:42
Yay for Elmr!,2019-02-20 11:51:37
I liked the aic and Bic explanations!,2019-02-20 11:51:35
