title,genre,director,year,duration,gross,budget,cast_facebook_likes,votes,reviews,rating
Over the Hill to the Poorhouse,Crime,Harry F. Millarde,1920,110,3000000,100000,4,5,2,4.8
The Broadway Melody,Musical,Harry Beaumont,1929,100,2808000,379000,109,4546,107,6.3
42nd Street,Comedy,Lloyd Bacon,1933,89,2300000,439000,995,7921,162,7.7
Top Hat,Comedy,Mark Sandrich,1935,81,3000000,609000,824,13269,164,7.8
Modern Times,Comedy,Charles Chaplin,1936,87,163245,1500000,352,143086,331,8.6
Snow White and the Seven Dwarfs,Animation,William Cottrell,1937,83,184925485,2000000,229,133348,349,7.7
The Wizard of Oz,Adventure,Victor Fleming,1939,102,22202612,2800000,2509,291875,746,8.1
Gone with the Wind,Drama,Victor Fleming,1939,226,198655278,3977000,1862,215340,863,8.2
Pinocchio,Animation,Norman Ferguson,1940,88,84300000,2600000,1178,90360,252,7.5
Duel in the Sun,Drama,King Vidor,1946,144,20400000,8000000,2037,6304,119,6.9
The Best Years of Our Lives,Drama,William Wyler,1946,172,23650000,2100000,1941,40359,332,8.1
The Lady from Shanghai,Crime,Orson Welles,1947,92,7927,2300000,1055,19236,265,7.7
The Pirate,Adventure,Vincente Minnelli,1948,102,2956000,3700000,282,3258,95,7.1
Annie Get Your Gun,Biography,George Sidney,1950,107,8000000,3768785,731,3167,111,7
The Greatest Show on Earth,Drama,Cecil B. DeMille,1952,152,36000000,4000000,825,9456,151,6.7
"The Beast from 20,000 Fathoms",Adventure,Eugene Lourie,1953,80,5000000,210000,205,4812,155,6.7
The Robe,Drama,Henry Koster,1953,135,36000000,5000000,1920,6359,111,6.8
On the Waterfront,Crime,Elia Kazan,1954,108,9600000,910000,11094,100890,415,8.2
Some Like It Hot,Comedy,Billy Wilder,1959,120,25000000,2883848,527,175196,531,8.3
Psycho,Horror,Alfred Hitchcock,1960,108,32000000,806947,1885,422432,1330,8.5
West Side Story,Crime,Jerome Robbins,1961,152,43650000,6000000,1802,71919,436,7.6
"It's a Mad, Mad, Mad, Mad World",Action,Stanley Kramer,1963,197,46300000,9400000,4109,29323,405,7.6
Mary Poppins,Comedy,Robert Stevenson,1964,139,102300000,6000000,2045,107408,404,7.8
My Fair Lady,Drama,George Cukor,1964,170,72000000,17000000,1164,66959,340,7.9
The Greatest Story Ever Told,Biography,George Stevens,1965,225,8000000,20000000,1934,6484,127,6.6
Major Dundee,Adventure,Sam Peckinpah,1965,152,14873,3800000,2888,5294,120,6.8
The Sound of Music,Biography,Robert Wise,1965,174,163214286,8200000,1495,148172,525,8
Doctor Zhivago,Drama,David Lean,1965,200,111722000,11000000,1966,55816,344,8
Butch Cassidy and the Sundance Kid,Biography,George Roy Hill,1969,110,102308900,6000000,2169,152089,439,8.1
Beyond the Valley of the Dolls,Comedy,Russ Meyer,1970,109,9000000,900000,731,7584,238,6.2
Darling Lili,Comedy,Blake Edwards,1970,143,5000000,25000000,788,1547,72,6.2
Woodstock,Documentary,Michael Wadleigh,1970,215,13300000,600000,778,12631,116,8.1
Sweet Sweetback's Baadasssss Song,Crime,Melvin Van Peebles,1971,97,15180000,500000,1631,3340,88,5.5
Fiddler on the Roof,Drama,Norman Jewison,1971,181,50000000,9000000,934,29839,216,8
Pink Flamingos,Comedy,John Waters,1972,108,180483,10000,760,16792,256,6.1
The Godfather,Crime,Francis Ford Coppola,1972,175,134821952,6000000,28122,1155770,2446,9.2
Mean Streets,Crime,Martin Scorsese,1973,112,32645,500000,23737,67797,335,7.4
American Graffiti,Comedy,George Lucas,1973,112,115000000,777000,14954,63839,338,7.5
The Exorcist,Horror,William Friedkin,1973,132,204565000,8000000,2466,284252,1362,8
The Sting,Comedy,George Roy Hill,1973,129,159600000,5500000,2387,175607,371,8.3
Benji,Adventure,Joe Camp,1974,86,39552600,500000,1090,3411,41,6.1
The Texas Chain Saw Massacre,Horror,Tobe Hooper,1974,88,30859000,83532,1094,96410,1103,7.5
The Texas Chain Saw Massacre,Horror,Tobe Hooper,1974,88,30859000,83532,1094,96411,1103,7.5
Blazing Saddles,Comedy,Mel Brooks,1974,93,119500000,2600000,4701,95294,484,7.8
Young Frankenstein,Comedy,Mel Brooks,1974,106,86300000,2800000,2703,112671,444,8
The Godfather: Part II,Crime,Francis Ford Coppola,1974,220,57300000,13000000,39960,790926,799,9
Jaws,Adventure,Steven Spielberg,1975,130,260000000,8000000,2047,412454,1347,8
One Flew Over the Cuckoo's Nest,Drama,Milos Forman,1975,133,112000000,4400000,2176,680041,909,8.7
Logan's Run,Action,Michael Anderson,1976,119,25000000,9000000,2951,39847,354,6.8
Rocky,Drama,John G. Avildsen,1976,145,117235247,960000,16094,375240,683,8.1
Kingdom of the Spiders,Horror,John 'Bud' Cardos,1977,97,17000000,500000,516,3274,179,5.9
A Bridge Too Far,Drama,Richard Attenborough,1977,175,50800000,26000000,669,40277,266,7.4
Close Encounters of the Third Kind,Drama,Steven Spielberg,1977,135,128300000,19400870,1591,139288,510,7.7
Annie Hall,Comedy,Woody Allen,1977,93,39200000,4000000,12691,192940,645,8.1
Star Wars: Episode IV - A New Hope,Action,George Lucas,1977,125,460935665,11000000,13485,911097,1752,8.7
The Wiz,Adventure,Sidney Lumet,1978,118,13000000,24000000,1458,10895,182,5.2
Jaws 2,Adventure,Jeannot Szwarc,1978,131,102922376,20000000,1520,51314,340,5.7
Grease,Musical,Randal Kleiser,1978,110,181360000,6000000,5127,170027,474,7.2
Superman,Action,Richard Donner,1978,188,134218018,55000000,12940,126357,666,7.3
Animal House,Comedy,John Landis,1978,109,141600000,3000000,3468,90177,351,7.6
Halloween,Horror,John Carpenter,1978,101,47000000,300000,4400,157857,1509,7.9
Halloween,Horror,John Carpenter,1978,101,47000000,300000,4400,157863,1509,7.9
Star Trek: The Motion Picture,Adventure,Robert Wise,1979,143,82300000,35000000,16007,63330,539,6.4
The Rose,Drama,Mark Rydell,1979,125,29200000,8500000,1097,6142,84,6.9
Escape from Alcatraz,Biography,Don Siegel,1979,112,36500000,8000000,17568,87090,195,7.6
Apocalypse Now,Drama,Francis Ford Coppola,1979,289,78800000,31500000,25313,450676,1244,8.5
Can't Stop the Music,Biography,Nancy Walker,1980,124,2000000,20000000,1462,2998,100,4.5
Private Benjamin,Comedy,Howard Zieff,1980,109,69800000,10000000,2419,18140,85,6.1
Superman II,Action,Richard Lester,1980,116,108200000,54000000,2908,76331,390,6.8
Heaven's Gate,Adventure,Michael Cimino,1980,325,1500000,44000000,14255,9830,291,6.8
The Fog,Fantasy,John Carpenter,1980,89,21378000,1000000,4877,46492,547,6.8
The Fog,Fantasy,John Carpenter,1980,89,21378000,1000000,4878,46493,547,6.8
Dressed to Kill,Mystery,Brian De Palma,1980,104,31899000,6500000,2442,23986,322,7.1
Caddyshack,Comedy,Harold Ramis,1980,98,39800000,6000000,14921,81599,321,7.4
Airplane!,Comedy,Jim Abrahams,1980,88,83400000,3500000,2726,160281,561,7.8
Ordinary People,Drama,Robert Redford,1980,124,54800000,6000000,5122,35130,345,7.8
The Blues Brothers,Action,John Landis,1980,148,54200000,27000000,2566,142448,444,7.9
Raging Bull,Biography,Martin Scorsese,1980,121,45250,18000000,23008,235133,645,8.3
Star Wars: Episode V - The Empire Strikes Back,Action,Irvin Kershner,1980,127,290158751,18000000,12643,837759,1123,8.8
The Legend of the Lone Ranger,Action,William A. Fraker,1981,98,8000000,18000000,927,1400,66,5
Sphinx,Adventure,Franklin J. Schaffner,1981,118,800000,14000000,2079,892,23,5.2
Under the Rainbow,Comedy,Steve Rash,1981,98,8500000,20000000,1761,2061,47,5.4
