subject,gender,scenario,attitude,frequency
F1,F,1,pol,213.3
F1,F,1,inf,204.5
F1,F,2,pol,285.1
F1,F,2,inf,259.7
F1,F,3,pol,203.9
F1,F,3,inf,286.9
F1,F,4,pol,250.8
F1,F,4,inf,276.8
F1,F,5,pol,231.9
F1,F,5,inf,252.4
F1,F,6,pol,181.2
F1,F,6,inf,230.7
F1,F,7,inf,216.5
F1,F,7,pol,154.8
F3,F,1,pol,229.7
F3,F,1,inf,237.3
F3,F,2,pol,236.8
F3,F,2,inf,251
F3,F,3,pol,267
F3,F,3,inf,266
F3,F,4,pol,275.4
F3,F,4,inf,306.8
F3,F,5,pol,232.6
F3,F,5,inf,252.5
F3,F,6,pol,226.5
F3,F,6,inf,278.8
F3,F,7,inf,264.4
F3,F,7,pol,185.5
M4,M,1,pol,110.7
M4,M,1,inf,123.6
M4,M,2,pol,229
M4,M,2,inf,114.9
M4,M,3,pol,112.2
M4,M,3,inf,213.6
M4,M,4,pol,193.4
M4,M,4,inf,162.9
M4,M,5,pol,101.8
M4,M,5,inf,126.9
M4,M,6,pol,NA
M4,M,6,inf,136.2
M4,M,7,inf,146
M4,M,7,pol,126.5
M7,M,1,pol,86.1
M7,M,1,inf,99.1
M7,M,2,pol,82.2
M7,M,2,inf,104.3
M7,M,3,pol,85.9
M7,M,3,inf,110.2
M7,M,4,pol,97.1
M7,M,4,inf,120
M7,M,5,pol,93.7
M7,M,5,inf,102.9
M7,M,6,pol,108.8
M7,M,6,inf,108.2
M7,M,7,inf,124.4
M7,M,7,pol,107.6
F2,F,1,pol,232.7
F2,F,1,inf,231.3
F2,F,2,pol,246.3
F2,F,2,inf,259.7
F2,F,3,pol,289.4
F2,F,3,inf,301.8
F2,F,4,pol,243.2
F2,F,4,inf,296.2
F2,F,5,pol,277.7
F2,F,5,inf,294.2
F2,F,6,pol,208
F2,F,6,inf,225.9
F2,F,7,inf,281
F2,F,7,pol,227.2
M3,M,1,pol,153.8
M3,M,1,inf,188.8
M3,M,2,pol,142.4
M3,M,2,inf,199.7
M3,M,3,pol,160.2
M3,M,3,inf,186.1
M3,M,4,pol,207.5
M3,M,4,inf,190.9
M3,M,5,pol,160.7
M3,M,5,inf,156.5
M3,M,6,pol,146.7
M3,M,6,inf,158
M3,M,7,inf,161.1
M3,M,7,pol,153.3
