skill,hand,limit,balance
1,1,1,4
1,1,1,5.55
1,1,1,9.45
1,1,1,7.19
1,1,1,5.71
1,1,1,5.32
1,1,1,8.52
1,1,1,4.06
1,1,1,4.97
1,1,1,6.18
1,1,1,6.55
1,1,1,9.73
1,1,1,10.8
1,1,1,2.07
1,1,1,8.69
1,1,1,8.47
1,1,1,7
1,1,1,10.67
1,1,1,11.04
1,1,1,10.41
1,1,1,10.05
1,1,1,2.92
1,1,1,8.39
1,1,1,8.36
1,1,1,7.13
1,1,2,5.52
1,1,2,8.28
1,1,2,0.27
1,1,2,11.49
1,1,2,4.68
1,1,2,12.22
1,1,2,6.24
1,1,2,5.1
1,1,2,3.76
1,1,2,1
1,1,2,9.52
1,1,2,6.42
1,1,2,6.81
1,1,2,8.09
1,1,2,1.56
1,1,2,3.82
1,1,2,5.77
1,1,2,3.14
1,1,2,12.01
1,1,2,11.66
1,1,2,12.06
1,1,2,9.45
1,1,2,10.34
1,1,2,5.7
1,1,2,16.68
1,2,1,11.74
1,2,1,10.04
1,2,1,9.49
1,2,1,8.33
1,2,1,6.2
1,2,1,11.45
1,2,1,11.99
1,2,1,9.37
1,2,1,13.08
1,2,1,15.3
1,2,1,10.73
1,2,1,13.35
1,2,1,7.79
1,2,1,12.29
1,2,1,11.56
1,2,1,9.51
1,2,1,8.85
1,2,1,6.06
1,2,1,6.76
1,2,1,9.28
1,2,1,9.24
1,2,1,6.17
1,2,1,10.8
1,2,1,5.68
1,2,1,11.19
1,2,2,21.55
1,2,2,3.12
1,2,2,7.64
1,2,2,18.73
1,2,2,14.15
1,2,2,9.1
1,2,2,7.61
1,2,2,9.15
1,2,2,14.53
1,2,2,11.14
1,2,2,8.38
1,2,2,20.89
1,2,2,6.94
1,2,2,25.63
1,2,2,13.29
1,2,2,12.21
1,2,2,13.5
1,2,2,14.91
1,2,2,16.76
1,2,2,0.39
1,2,2,8.21
1,2,2,8.31
1,2,2,8.67
1,2,2,11.71
1,2,2,9.7
1,3,1,10.86
1,3,1,8.68
1,3,1,14.36
1,3,1,9.66
1,3,1,10.08
1,3,1,12.37
1,3,1,6.24
1,3,1,13.45
1,3,1,14.8
1,3,1,10.45
1,3,1,14.28
1,3,1,15.84
1,3,1,14.12
1,3,1,11.29
1,3,1,11.09
1,3,1,14.58
1,3,1,13.01
1,3,1,8.91
1,3,1,12.21
1,3,1,13.61
1,3,1,13.16
1,3,1,11.7
1,3,1,14.54
1,3,1,13.13
1,3,1,10.56
1,3,2,9.07
1,3,2,26.99
1,3,2,8.76
1,3,2,21.36
1,3,2,15.19
1,3,2,15.33
1,3,2,9.15
1,3,2,4.93
1,3,2,15.95
1,3,2,15.12
1,3,2,12.76
1,3,2,11.82
1,3,2,8.17
1,3,2,5.47
1,3,2,9.73
1,3,2,8.1
1,3,2,17.72
1,3,2,16.78
1,3,2,9.1
1,3,2,9.43
1,3,2,5.74
1,3,2,11.44
1,3,2,14.96
1,3,2,8.68
1,3,2,18.03
2,1,1,4.37
2,1,1,3.58
2,1,1,6.09
2,1,1,4.53
2,1,1,3.55
2,1,1,3.43
2,1,1,8.59
2,1,1,8
2,1,1,7.53
2,1,1,5.7
2,1,1,5.75
2,1,1,4.45
2,1,1,1.02
2,1,1,4.39
2,1,1,3.57
2,1,1,1.96
2,1,1,3.53
2,1,1,2.54
2,1,1,2.81
2,1,1,3.31
2,1,1,8.9
2,1,1,9.17
2,1,1,9.94
2,1,1,1.81
2,1,1,7.74
2,1,2,0.97
2,1,2,7.11
2,1,2,0.97
2,1,2,1.45
2,1,2,7.84
2,1,2,4.02
2,1,2,9.32
2,1,2,2.57
2,1,2,8.38
2,1,2,4.37
2,1,2,0.88
2,1,2,4.43
2,1,2,5.24
2,1,2,5.82
2,1,2,0.91
2,1,2,2.71
2,1,2,2.8
2,1,2,2.97
2,1,2,3.23
2,1,2,0.01
2,1,2,4.37
2,1,2,5.89
2,1,2,5.43
2,1,2,10.19
2,1,2,1.19
2,2,1,6.42
2,2,1,14.18
2,2,1,11.86
2,2,1,9.19
2,2,1,11.89
2,2,1,9.62
2,2,1,6.73
2,2,1,9.55
2,2,1,12.68
2,2,1,4.93
2,2,1,13.49
2,2,1,10.16
2,2,1,11.15
2,2,1,8.36
2,2,1,10.06
2,2,1,7.84
2,2,1,10.27
2,2,1,9.21
2,2,1,10.4
2,2,1,8.21
2,2,1,9.25
2,2,1,13.78
2,2,1,6.96
2,2,1,7.18
2,2,1,11.63
2,2,2,17.31
2,2,2,7.56
2,2,2,2.98
2,2,2,10.34
2,2,2,14.42
2,2,2,1.49
2,2,2,5.32
2,2,2,10.43
2,2,2,5.75
2,2,2,12.13
2,2,2,11.65
2,2,2,16.06
2,2,2,11.48
2,2,2,14.71
2,2,2,10.15
2,2,2,17.56
2,2,2,1
2,2,2,13.06
2,2,2,2.95
2,2,2,12.04
2,2,2,12.17
2,2,2,14.12
2,2,2,4.11
2,2,2,4.47
2,2,2,13.93
2,3,1,17.58
2,3,1,12.85
2,3,1,13.94
2,3,1,13.99
2,3,1,18.63
2,3,1,18.32
2,3,1,16.84
2,3,1,13.72
2,3,1,15.22
2,3,1,15.05
2,3,1,16.44
2,3,1,19.11
2,3,1,16.19
2,3,1,11.31
2,3,1,14.86
2,3,1,14.51
2,3,1,16.09
2,3,1,14.42
2,3,1,17.27
2,3,1,14.49
2,3,1,16.25
2,3,1,17.27
2,3,1,18.69
2,3,1,15.71
2,3,1,16.24
2,3,2,13.06
2,3,2,9.51
2,3,2,0.36
2,3,2,16.33
2,3,2,14.89
2,3,2,6.39
2,3,2,9.52
2,3,2,22.48
2,3,2,1.61
2,3,2,19.15
2,3,2,6.94
2,3,2,15.55
2,3,2,19.45
2,3,2,9.55
2,3,2,15.71
2,3,2,11.42
2,3,2,6.66
2,3,2,14.68
2,3,2,14.36
2,3,2,16.31
2,3,2,19.24
2,3,2,13.55
2,3,2,16.69
2,3,2,0.1
2,3,2,1.38
