participant,trial,accuracy,rt
1,0,0,2452
1,1,0,1626
1,2,1,1782
1,3,1,3306
1,4,1,3377
1,5,1,1319
1,6,1,1044
1,7,1,1137
1,8,1,1220
1,9,1,1247
1,10,1,1138
1,11,1,981
1,12,1,1183
1,13,1,808
1,14,1,953
1,15,1,786
2,0,1,2452
2,1,0,2889
2,2,0,1713
2,3,1,2198
2,4,1,2858
2,5,0,2058
2,6,1,3236
2,7,1,1411
2,8,0,1273
2,9,1,1202
2,10,0,1096
2,11,0,1276
2,12,0,1240
2,13,1,1130
2,14,0,1273
2,15,1,1168
3,0,0,8312
3,1,0,2620
3,2,0,1947
3,3,1,1367
3,4,1,2673
3,5,1,1518
3,6,1,1836
3,7,1,1882
3,8,1,1416
3,9,1,1574
3,10,1,1878
3,11,1,1060
3,12,1,1429
3,13,1,3073
3,14,1,1537
3,15,1,1698
4,0,1,2583
4,1,1,1559
4,2,0,2335
4,3,0,3463
4,4,1,935
4,5,0,1840
4,6,1,2215
4,7,1,919
4,8,1,863
4,9,1,728
4,10,1,951
4,11,1,1111
4,12,1,887
4,13,1,807
4,14,1,1055
4,15,1,687
5,0,1,2531
5,1,1,2171
5,2,0,1724
5,3,0,1920
5,4,0,2219
5,5,1,1147
5,6,0,2061
5,7,1,858
5,8,0,2551
5,9,1,665
5,10,0,1274
5,11,1,959
5,12,1,1193
5,13,1,1720
5,14,1,883
5,15,1,603
6,0,0,2439
6,1,1,1191
6,2,0,1360
6,3,1,959
6,4,0,1519
6,5,1,1239
6,6,1,1431
6,7,1,1391
6,8,1,1368
6,9,0,1808
6,10,1,2015
6,11,1,1079
6,12,1,1455
6,13,1,1112
6,14,1,1304
6,15,1,2607
7,0,1,2946
7,1,0,2021
7,2,0,3061
7,3,1,1685
7,4,1,2062
7,5,1,1031
7,6,1,1326
7,7,1,758
7,8,1,1206
7,9,1,1270
7,10,1,1086
7,11,1,863
7,12,1,918
7,13,1,1111
7,14,1,1726
7,15,1,1134
8,0,1,5750
8,1,1,2237
8,2,1,2522
8,3,0,2678
8,4,1,1609
8,5,0,1742
8,6,0,2146
8,7,0,1101
8,8,0,1343
8,9,0,1194
8,10,1,879
8,11,0,1158
8,12,1,1218
8,13,1,1190
8,14,1,1069
8,15,1,1043
9,0,1,2898
9,1,1,1011
9,2,1,1435
9,3,0,2029
9,4,1,1455
9,5,1,1521
9,6,0,896
9,7,1,1199
9,8,1,881
9,9,1,1019
9,10,0,977
9,11,1,905
9,12,1,981
9,13,1,1507
9,14,1,1039
9,15,1,1854
10,0,1,9045
10,1,0,1853
10,2,0,1703
10,3,1,2601
10,4,1,2477
10,5,1,2545
10,6,1,1143
10,7,1,2250
10,8,1,1081
10,9,1,983
10,10,1,911
10,11,1,1431
10,12,1,1499
10,13,1,1991
10,14,1,2825
10,15,1,1223
11,0,1,3129
11,1,1,2099
11,2,1,1723
11,3,1,1408
11,4,1,1855
11,5,1,1271
11,6,1,1502
11,7,1,2449
11,8,1,1162
11,9,1,1242
11,10,1,1327
11,11,1,1092
11,12,1,1346
11,13,1,1181
11,14,1,1264
11,15,1,1492
12,0,0,5094
12,1,0,6551
12,2,1,2255
12,3,1,925
12,4,1,1199
12,5,1,1983
12,6,1,1271
12,7,1,805
12,8,1,775
12,9,1,950
12,10,1,953
12,11,1,942
12,12,1,791
12,13,1,711
12,14,1,703
12,15,1,678
13,0,0,8488
13,1,0,2082
13,2,1,1453
13,3,1,1343
13,4,1,941
13,5,1,1196
13,6,1,1008
13,7,1,747
13,8,1,1110
13,9,1,717
13,10,1,1526
13,11,1,821
13,12,1,1233
13,13,1,1606
13,14,1,1035
13,15,1,2743
14,0,1,6400
14,1,1,1564
14,2,1,2932
14,3,0,1181
14,4,1,1666
14,5,1,1498
14,6,1,1916
14,7,1,2047
14,8,1,981
14,9,1,1150
14,10,1,965
14,11,1,899
14,12,1,1348
14,13,1,948
14,14,1,1231
14,15,1,898
15,0,1,4663
15,1,0,1608
15,2,1,1072
15,3,1,752
15,4,1,871
15,5,1,631
15,6,1,569
15,7,1,887
15,8,1,991
15,9,1,1792
15,10,1,1367
15,11,1,976
15,12,1,1128
15,13,1,871
15,14,1,903
15,15,1,864
16,0,0,2417
16,1,0,3280
16,2,1,1147
16,3,1,1882
16,4,1,1689
16,5,1,2025
16,6,0,3948
16,7,1,1098
16,8,1,1664
16,9,1,1473
16,10,1,2505
16,11,1,1868
16,12,1,1449
16,13,1,2001
16,14,1,3283
16,15,1,1495
17,0,0,4471
17,1,1,1287
17,2,0,1935
17,3,1,1792
17,4,0,2047
17,5,1,927
17,6,1,2855
17,7,1,1415
17,8,0,1647
17,9,0,2039
17,10,1,855
17,11,1,3759
17,12,0,1191
17,13,1,1024
17,14,1,840
17,15,1,5136
18,0,0,7491
18,1,0,1198
18,2,0,1771
18,3,1,1467
18,4,0,2335
18,5,1,1445
18,6,0,1003
18,7,0,889
18,8,1,671
18,9,0,1483
18,10,1,795
18,11,1,1059
18,12,0,735
18,13,0,890
18,14,1,779
18,15,1,1067
19,0,0,3665
19,1,1,3215
19,2,1,1532
19,3,1,1632
19,4,1,1265
19,5,1,1532
19,6,1,1098
19,7,1,1181
19,8,1,1348
19,9,1,1165
19,10,1,1098
19,11,1,1181
19,12,1,1082
19,13,1,1815
19,14,1,1032
19,15,1,1432
20,0,1,2939
20,1,1,2256
20,2,1,980
20,3,1,1179
20,4,0,2031
20,5,1,1464
20,6,1,1915
20,7,1,1282
20,8,0,1080
20,9,1,930
20,10,1,1007
20,11,1,925
20,12,1,1646
20,13,1,1105
20,14,1,1256
20,15,1,1024
21,0,1,3791
21,1,0,2316
21,2,1,6114
21,3,1,1654
21,4,1,1354
21,5,1,1327
21,6,1,1635
21,7,1,1570
21,8,1,2168
21,9,1,1339
21,10,1,4784
21,11,1,1298
21,12,1,1492
21,13,1,1095
21,14,1,1634
21,15,1,3777
22,0,0,9967
22,1,0,3521
22,2,1,3269
22,3,1,1701
22,4,1,3679
22,5,1,1881
22,6,1,1489
22,7,1,1962
22,8,1,1102
22,9,1,1315
22,10,1,1245
22,11,1,953
22,12,1,1259
22,13,1,1094
22,14,1,1055
22,15,1,1978
23,0,1,7822
23,1,1,2783
23,2,1,1545
23,3,1,1997
23,4,0,1664
23,5,0,2211
23,6,0,1384
23,7,1,1610
23,8,1,2213
23,9,1,1527
23,10,0,2345
23,11,0,1039
23,12,1,1084
23,13,1,1449
23,14,1,2361
23,15,1,1615
24,0,1,2733
24,1,1,1519
24,2,0,1576
24,3,0,1903
24,4,1,1321
24,5,1,1142
24,6,1,1208
24,7,1,1151
24,8,1,1767
24,9,1,1073
24,10,1,1284
24,11,1,10275
24,12,1,853
24,13,1,760
24,14,1,6546
24,15,1,904
25,0,1,7462
25,1,1,2648
25,2,1,2613
25,3,1,3827
25,4,1,5277
25,5,1,5648
25,6,1,8229
25,7,0,5628
25,8,0,6080
25,9,1,3648
25,10,0,3351
25,11,1,2347
25,12,1,2281
25,13,1,3211
25,14,0,3347
25,15,0,2862
26,0,0,11330
26,1,0,4621
26,2,0,49733
26,3,0,1507
26,4,1,1500
26,5,1,1773
26,6,1,1568
26,7,1,1779
26,8,1,2020
26,9,1,199291
26,10,1,2083
26,11,1,557061
26,12,1,1769
26,13,1,1458
26,14,1,2229
26,15,1,1956
27,0,0,2593
27,1,1,2084
27,2,0,1551
27,3,0,662
27,4,0,1623
27,5,0,1955
27,6,1,702
27,7,1,3087
27,8,0,985
27,9,1,3467
27,10,1,2027
27,11,1,1348
27,12,1,1325
27,13,1,920
27,14,1,1260
27,15,0,1631
28,0,1,2853
28,1,0,2086
28,2,0,2735
28,3,0,3327
28,4,1,2614
28,5,0,2961
28,6,1,1614
28,7,0,2990
28,8,1,1428
28,9,1,2413
28,10,0,2396
28,11,1,1218
28,12,0,794
28,13,1,940
28,14,0,2531
28,15,1,2616
29,0,0,5096
29,1,0,3742
29,2,1,3339
29,3,0,2960
29,4,1,4012
29,5,1,4171
29,6,1,1701
29,7,1,1510
29,8,1,1629
